term,sessionPeriod,sessionTimes,meetingTimes,agendaNo,billName,docUrl,selectTerm,
09,03,01,,1,本院委員吳志揚、徐榛蔚、黃昭順、蔣萬安等11人臨時提案，有鑑於特殊教育法第18條已明定特殊教育與相關服務措施提供與設施設置，以確保身心障礙者受教之權利。惟國內高級中等學校中仍有部分並未依法設立適當之無障礙設施，據統計截至105年8月底，171所國立高級中等學校中應設置無障礙設施而未設置者尚有105所，所需設置無障礙設施計有1939項，明顯未顧及身障者之受教權，亟需進行督導並要求改善，故此建請政府相關單位，針對公私立高級中等學校進行校園無障礙設施總體檢，並限期提出改善方案，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/09/04/04-1061017/0904041061017_003.pdf,0903,
09,03,01,,2,本院委員曾銘宗等12人臨時提案，鑒於學貸已成為莘莘學子沉重負擔，建議行政院半年內提出減輕學貸壓力方案，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/09/03/02-1060224/0903021060224_008.pdf,0903,
09,03,01,,3,本院委員張麗善等15人臨時提案，有鑑於台灣首見可人禽流通之H5N6禽流感案例，H5N6疫情陸續在花蓮、宜蘭與台南之禽場或屠宰場發生，台灣地窄人稠，養殖禽類密度極高，人員可接觸面廣，恐成全球新型流感威脅最大的第一線地區，已造成國安危機。爰建請行政院應盡速邀集相關單位針對H5N6以及未來可能變種之禽流感擬定有效防疫對策與作為，並應積極穩定物價，以保障國人的健康、食品安全以及物價之穩定，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/09/03/01-1060221/0903011060221_003.pdf,0903,
09,03,01,,4,本院委員王育敏等12人臨時提案，鑑於近年來台灣虐待動物事件頻傳，凸顯國人動物生命教育之不足。另查，動保團體所進行全國動保社團暨校犬貓調查報告亦指出，目前我國各縣市高國中小經營校犬比例仍低，校園動保教育推廣不足。爰建請農委會持續推廣校園校犬計畫；教育部應儘速提出動保教育之完整規劃，並將動物保護列入生命教育課程課綱，以落實生命教育，健全零安樂死政策之相關配套，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/09/03/01-1060221/0903011060221_004.pdf,0903,
09,03,01,,5,本院委員簡東明等17人臨時提案，鑑於中華郵政股份有限公司近年來已積極推出「原住民族文化特色郵筒」政策，以發揚原住民族文化特色。但為原住民地區郵政業務需要、深化原住民族地區文化發展，爰提案請中華郵政於原住民族地區之郵局局屋改善、建築設計等環境營造工程，亦必須納入在地原住民族文化特色，以發揚原住民族地區郵務發展新形象，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/09/03/01-1060221/0903011060221_005.pdf,0903,
09,03,01,,6,本院委員林德福等14人臨時提案，有鑒於信號彈發射後，溫度約千度，威力驚人，若近距離朝人射擊，可能致人死傷，尋常百姓並不會家家戶戶持有。「信號彈無管制，人人皆可買」，政府未對信號彈加以管制，造成任何人可輕易取得，價格又便宜，形成另類「武器滿街跑」怪象。犯罪份子、飆車族以信號彈作為攻擊、恐嚇武器，類似案件不斷出現在社會新聞版面，已對社會秩序與公共安全已造成危害。104年信號彈攻擊事件大幅增加，平均每月發生3件，本席建請行政院應立即檢討，防範信號彈攻擊事件再次發生，保障人民生命及財產安全，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/09/03/03-1060307/0903031060307_016.pdf,0903,
09,03,01,,7,本院委員蔣乃辛等17人臨時提案，有鑑於新興毒品危害健康與致死率極高，已成為社會關注的焦點。警政署資料顯示，我國施用三級毒的人數驟增，由98年的504人，飆升到104年的20897人，7年來增加41倍。另法醫研究所指出，新興毒品致死案件，從102年開始有1人，103年有4人，到104年飆升為94人，增加23.5倍，是歷史新高。專家表示，新興毒品包裝精美，外觀像咖啡包、零食，偽裝流竄在校園、夜店、毒趴及通訊軟體群組，青少年易失戒心而吸食，若加上多種毒品與酒精混用，其危險度與致死率極高。為維護青少年健康及防堵其染毒，要求行政院在中央與地方建立毒品查緝中心，結合教育、衛生、社政及警政機關，提供一條鞭的查緝、防毒與戒毒之支援，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/09/03/01-1060221/0903011060221_007.pdf,0903,
09,03,01,,8,本院委員盧秀燕等11人臨時提案，有鑑於中南部人民長期籠罩在重化工業及高污染工業的陰霾中，呼吸著重度污染的空氣，不見藍天已久；為何在同一片土地上有著不公義的環境，並導致中南部民眾於2月19日上街頭抗爭，實為政府執政無能。為了不讓中南部國民淪為次等公民繼續呼吸超標的PM2.5 毒空氣，現行《空氣污染防制法》更應與時俱進以符合社會之需求與期待。爰此，本席要求行政院釐清中南部各縣市空氣污染成分，儘速積極擬定相關政策，以保護國人健康，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/09/03/01-1060221/0903011060221_008.pdf,0903,
09,03,01,,9,本院委員賴士葆等12人臨時提案，查全台超過百萬戶身心障礙家庭，又有近八成面臨「雙老」困境，因而倡導中輕度身心障礙者獨立生活概念，對其照顧日趨社區化為政策方向之要。其中，小型作業所介於庇護工場與日托機構的社區式服務，可讓中輕度身心障礙者從特教學校畢業後，仍有持續訓練其輕微勞作，以有效增加生活自理能力、理解能力，亦促進健康之去處，惟小型作業所在台灣不僅數量不足，在各縣市的分配密度也低。再者，適逢少子化浪潮，歷年來數千間空教室閒置，應有再活化用以照顧弱勢之可能性。有鑑於積極培養中輕度身心障礙者的生活和工作能力，將是妥適支配政府社福資源之關鍵，爰提案要求行政院及其相關單位，應於半年內以校園安全無虞為前題，將閒置教室轉化為中輕度身心障礙者小型作業所利用地達20%，以提高館舍使用效益，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/09/03/01-1060221/0903011060221_009.pdf,0903,
09,03,01,,10,本院委員李昆澤、劉世芳、賴瑞隆、陳其邁等17人臨時提案，鑑於郵輪觀光已是國際觀光的新興趨勢，尤其是亞洲地區每年都有7至9%的高成長，帶來龐大的觀光商機。高雄港位居東亞航線的中心，相當適合發展郵輪觀光，過去數年也有高成長表現，惟2016年卻大幅衰退，爰此，要求交通部督促觀光局、臺灣港務公司協同地方政府積極推廣郵輪觀光，包含檢討相關港口收費機制，擬定差別費率並簡化相關簽證流程，以吸引國際郵輪進駐高雄港，發展南臺灣的觀光產業，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/09/03/03-1060307/0903031060307_010.pdf,0903,
