term,sessionPeriod,sessionTimes,meetingTimes,billNo,billName,billOrg,billProposer,billCosignatory,billStatus,pdfUrl,docUrl,selectTerm,
09,03,01,,1051226070201200,「公教人員保險法第三十七條條文修正草案」，請審議案。,本院民進黨黨團,民主進步黨立法院黨團 柯建銘　吳秉叡　劉世芳,,交付審查,http://lci.ly.gov.tw/LyLCEW/agenda1/02/pdf/09/03/01/LCEWA01_090301_00007.pdf,http://lci.ly.gov.tw/LyLCEW/agenda1/02/word/09/03/01/LCEWA01_090301_00007.doc,0903,
09,03,01,,1051226070201300,「公務人員退休法第二十六條條文修正草案」，請審議案。,本院民進黨黨團,民主進步黨立法院黨團 柯建銘　吳秉叡　劉世芳,,交付審查,http://lci.ly.gov.tw/LyLCEW/agenda1/02/pdf/09/03/01/LCEWA01_090301_00008.pdf,http://lci.ly.gov.tw/LyLCEW/agenda1/02/word/09/03/01/LCEWA01_090301_00008.doc,0903,
09,03,01,,1051226070201400,「公務人員撫卹法第十三條及第二十二條條文修正草案」，請審議案。,本院民進黨黨團,民主進步黨立法院黨團 柯建銘　吳秉叡　劉世芳　,,交付審查,http://lci.ly.gov.tw/LyLCEW/agenda1/02/pdf/09/03/01/LCEWA01_090301_00009.pdf,http://lci.ly.gov.tw/LyLCEW/agenda1/02/word/09/03/01/LCEWA01_090301_00009.doc,0903,
09,03,01,,1051226070201500,「政務人員退職撫卹條例第七條及第二十一條條文修正草案」，請審議案。,本院民進黨黨團,民主進步黨立法院黨團 柯建銘　吳秉叡　劉世芳　　　　　　　,,審查完畢,http://lci.ly.gov.tw/LyLCEW/agenda1/02/pdf/09/03/01/LCEWA01_090301_00010.pdf,http://lci.ly.gov.tw/LyLCEW/agenda1/02/word/09/03/01/LCEWA01_090301_00010.doc,0903,
09,03,01,,1051226070201600,「學校教職員退休條例第十五條條文修正草案」，請審議案。,本院民進黨黨團,民主進步黨立法院黨團 柯建銘　吳秉叡　劉世芳,,交付審查,http://lci.ly.gov.tw/LyLCEW/agenda1/02/pdf/09/03/01/LCEWA01_090301_00011.pdf,http://lci.ly.gov.tw/LyLCEW/agenda1/02/word/09/03/01/LCEWA01_090301_00011.doc,0903,
09,03,01,,1051226070201700,「學校教職員撫卹條例第十四條及第二十二條條文修正草案」，請審議案。,本院民進黨黨團,民主進步黨立法院黨團 柯建銘　吳秉叡　劉世芳　,,交付審查,http://lci.ly.gov.tw/LyLCEW/agenda1/02/pdf/09/03/01/LCEWA01_090301_00012.pdf,http://lci.ly.gov.tw/LyLCEW/agenda1/02/word/09/03/01/LCEWA01_090301_00012.doc,0903,
09,03,01,,1051226070201800,「陸海空軍軍官士官服役條例第四十二條條文修正草案」，請審議案。,本院民進黨黨團,民主進步黨立法院黨團　 柯建銘　吳秉叡　劉世芳,,交付審查,http://lci.ly.gov.tw/LyLCEW/agenda1/02/pdf/09/03/01/LCEWA01_090301_00013.pdf,http://lci.ly.gov.tw/LyLCEW/agenda1/02/word/09/03/01/LCEWA01_090301_00013.doc,0903,
09,03,01,,1051226070201900,「軍人撫卹條例第二十九條及第四十條條文修正草案」，請審議案。,本院民進黨黨團,民主進步黨立法院黨團 柯建銘　吳秉叡　劉世芳,,交付審查,http://lci.ly.gov.tw/LyLCEW/agenda1/02/pdf/09/03/01/LCEWA01_090301_00014.pdf,http://lci.ly.gov.tw/LyLCEW/agenda1/02/word/09/03/01/LCEWA01_090301_00014.doc,0903,
09,03,01,,1051223070200400,「都市更新條例第十八條、第五章章名及第五十二條之一條文修正草案」，請審議案。,本院委員江永昌等20人,江永昌　　施義芳　　 ,莊瑞雄　　鍾孔炤　　陳歐珀　　邱泰源　　鄭寶清　　郭正亮　　洪宗熠　　陳亭妃　　吳玉琴　　李昆澤　　黃國書　　羅致政　　余宛如　　陳曼麗　　趙正宇　　李麗芬　　林靜儀　　鍾佳濱　　,交付審查,http://lci.ly.gov.tw/LyLCEW/agenda1/02/pdf/09/03/01/LCEWA01_090301_00015.pdf,http://lci.ly.gov.tw/LyLCEW/agenda1/02/word/09/03/01/LCEWA01_090301_00015.doc,0903,
09,03,01,,1051223070200700,「公益勸募條例第二條、第四條及第六條條文修正草案」，請審議案。,本院委員劉櫂豪等19人,劉櫂豪　　莊瑞雄　　 ,趙天麟　　鄭運鵬　　洪宗熠　　陳明文　　葉宜津　　洪慈庸　　羅致政　　黃國書　　何欣純　　郭正亮　　鍾佳濱　　施義芳　　段宜康　　王榮璋　　許智傑　　邱泰源　　尤美女　　,交付審查,http://lci.ly.gov.tw/LyLCEW/agenda1/02/pdf/09/03/01/LCEWA01_090301_00016.pdf,http://lci.ly.gov.tw/LyLCEW/agenda1/02/word/09/03/01/LCEWA01_090301_00016.doc,0903,
