term,sessionPeriod,sessionTimes,item,selectTerm,
09,01,01,一、本院徐委員榛蔚，鑑於我國建築技術及橋樑規範於921地震之後，重新制定耐震係數，提高建物抗震標準，然於民國88年以前興建完成之建築所適用之耐震標準除與現行標準相較為低，耐震強度更顯不足，相關單位應儘速針對民國88年以前興建完成之建築進行全面性之體檢，並以未來強震發生機率及震度危害高度地區為優先體檢對象，且根據檢測結果研擬相關管制或強制補強作為，以加強建築之耐震強度，降低國人天災風險，特向行政院提出質詢。,0901,
09,01,01,二、本院徐委員榛蔚，針對今（105）年2月6日南台強震，台南地區因盲斷層影響，產生「震源效應」及「場址效應」，導致多處大樓倒塌災情，受創程度嚴重，全台地質狀態亦相對產生變動，相關單位應儘速就全台地區斷層分布狀況及地震密集帶進行通盤檢討，並定期更新相關資料，公布於相關單位網站，俾盡政府保護全體國民安全之責，特向行政院提出質詢。,0901,
09,01,01,三、本院徐委員榛蔚，針對台9線蘇花公路山區路段改善計畫（以下簡稱蘇花改計畫）究其根柢，係一「以人為本」，源起於為花東居民提供一條安全的返鄉路之國家重要公共建設，然於2012年3月工程施作過程中意外發現「漢本遺址」，後因遺址挖掘事宜，致蘇花改計畫多次延宕，惟公共建設之完成與文化古蹟之維護應並重，建請交通部及公路總局等相關單位不僅就攸關東台灣居民生命安全之交通建設蘇花改計畫各階段工程皆應如期如質完工，具有文資價值之考古發現亦應同時增加相關人力進行挖掘及維護作業，使公共建設與文化資產保存間共存共榮，特向行政院提出質詢。,0901,
09,01,01,四、本院徐委員榛蔚，有鑑於每逢農曆年假鐵公路運輸量暴增，復因今（105）年農曆新年發生芮氏規模6.4強震，造成南臺灣多人死傷，交通設施恐有毀損。建請應對年假期間鐵公路疏運政策及實際狀況進行通盤檢討，另在正式上班後，再次對全臺鐵公路設施進行安全巡查，並將結果公布以安民心，特向行政院提出質詢。,0901,
09,01,01,五、本院鄭委員麗君，就國立中興大學徵「零元講師」乙事，特向行政院提出質詢。,0901,
09,01,02,一、本院曾委員銘宗，針對中國阿里巴巴在我國成功申請646件專利申請且其中有227件金融科技專利一案，特向行政院提出質詢。,0901,
09,01,02,二、本院王委員惠美，鑑於2015年台灣總生育率降至1.12‰，遠低於維持人口結構穩定的總生育率2.1‰的水準，少子化的成因眾多，幼兒教育經費支出造成家庭負擔是其中關鍵成因，且少子化將造成勞動力銳減，嚴重影響經濟發展；又根據研究，完善的幼兒教育有助於提升個人未來勞動力。基於上述，為提高生育率、完善幼兒教育及減輕家長負擔增加家庭所支配所得，藉以改善生活。因此，建議幼兒教育券之補助由5歲幼兒修訂為3歲至5歲幼兒，以完善幼兒教育。爰此，特向行政院提出質詢。,0901,
09,01,02,三、本院王委員惠美，有鑒於今年1月所發生「帝王級寒潮」，造成台灣至少一二二名民眾的死亡以及數十億元農、漁業災害損失，顯見我國政府對於自然災害之定義沒有與時俱進，應變能力嚴重不足；為避免未來因全球氣候異常所產生寒潮、熱浪等天然災害之侵襲所造成的傷害，中央政府應立即研擬寒潮、熱浪等極端異常氣候災害之標準應變程序，並儘速修正「災害防救法」，特向行政院提出緊急質詢。,0901,
09,01,02,四、本院王委員惠美，有鑒於台灣近年來因飼養寵物族群增加，對於寵物貓狗的需求量大增；影響所致，許多不肖業者為降低繁殖成本及提高寵物繁殖效率，進行非法且不人道的繁殖、配種。為確保寵物來源合法、避免非法繁殖，中央政府應儘速研擬、建置「寵物履歷制度」，特向行政院提出質詢。,0901,
09,01,02,五、本院王委員惠美，有鑒於彰化縣鹿港鎮因保留過去商港時期之風貌及獨特的建築景觀，使得鹿港成為台灣重要的觀光景區；然而鹿港卻也因為觀光人潮倍增及都市化的過程讓具有保存價值的歷史古屋面臨拆除、改建的危機。為保存「鹿港小鎮」之記憶以及保護具有文化價值之歷史古屋，行政院應研擬保存計畫及補助修繕經費，特向行政院提出質詢。,0901,
09,01,02,六、本院王委員惠美，鑑於彰化縣和美、線西、伸港三鄉鎮高中職升學資源不足，招生名額遠低於國中畢業生人數，嚴重影響當地學子受教權益，爰建請政府相關單位於當地增設高中，以保障在地學生升學機會，特向行政院提出質詢。,0901,
09,01,02,七、本院王委員惠美，有鑒於國內中部各縣市於去年下半年起陸續出現「垃圾危機」，大量民生及事業廢棄物無法進入焚化爐焚燒，只能堆積在垃圾處理場曝曬、雨淋，造成病媒蚊及細菌滋生，嚴重危害各縣市居民健康；為解決垃圾無處燒的窘境，環保署應積極協調各縣市政府有效發揮區域合作機制，建立風險預估及應變管理機制，特向行政院提出質詢。,0901,
09,01,02,八、本院王委員惠美，鑒於「長期照顧十年計畫」為體卹家庭照顧者辛勞，推出長期照護暫托（喘息服務），補助天數依失能程度不同，輕度及中度失能者，每年補助14天；重度失能者，每年補助21天。為顧及家庭照顧者身心負擔，應酌以增加補助時間，提供照顧者適度休閒以舒緩照顧壓力，並考量財政之可行性，建議第一階段，輕度及中度失能者，每年18天補助；重度失能者，每年25天補助，後續再依財政能力調整延長補助時間。又，目前喘息服務多仰賴長期照護中心等機構，有嚴重不足情形，政府應考量喘息服務需求，加速長期照護體系建立並設置專為喘息服務之機構，以因應喘息服務需求。爰此，特向行政院提出質詢。,0901,
