term,sessionPeriod,sessionTimes,meetingTimes,agendaNo,billName,docUrl,selectTerm,
09,04,01,,1,本院委員鄭寶清、陳歐珀等12人臨時提案，針對本屆第二會期審查交通部臺灣港務公司105年度預算曾決議：「臺灣港務公司所轄各國際商港港勤拖船委外經營業務，對於收入性勞務採購，應依法採公開招標及繳交最高管理費者一家決標辦理……」，由於未能周延考量高雄港原有多家共同自由承攬之市場慣例，且因限制獨家壟斷經營拖船業務，不僅傷害到多數港勤拖船使用單位之權益外，並嚴重干擾高雄前鎮河以北及舊港區碼頭（即1至22號碼頭）於用途調整前之既定行政規畫，為期高雄港未來正向良性發展，特此建請臺灣港務公司高雄分公司暫緩本案目前之執行，俟本會期重新檢討後再行妥適辦理，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/09/04/01-1060926/0904011060926_001.pdf,0904,
09,04,01,,2,本院委員羅明才、徐志榮等11人臨時提案，鑒於＜各類所得扣繳率標準＞第二條、第三條有關政府舉辦之獎券（包含統一發票）中獎獎金獎額已近38年間未經調整。又根據行政院主計總處公告，40歲以下年輕人的薪資收入調查倒退到19年前的水準；而消費者物價指數則較38年前成長142.36%，薪資所得負成長與消費者物價指數不斷攀升的情況下，不斷壓縮民眾實質可支配所得。爰此，本席建請財政部修正＜各類所得扣繳率標準＞，將政府舉辦之獎券中獎獎金獎額免稅門檻由現行的新臺幣二千元調高為新臺幣五千元，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/09/04/06-1061031/0904061061031_005.pdf,0904,
09,04,01,,3,本院委員李昆澤等14人臨時提案，鑑於少子化時代來臨，政府應營造更友善的育兒環境，惟目前幼兒園多以私立為主，對家長而言經濟負擔沈重，且不利於經濟弱勢的幼兒入學。觀諸歐美先進國家多以公立或非營利幼兒園為主，提供平價且優質的教保服務。臺灣目前有許多閒置的公共設置及校舍空間，應優先規劃為公立及非營利幼兒園，政府也應投入更多資源在幼兒教育公共化上面，以提升整體幼兒教育的素質，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/09/04/01-1060926/0904011060926_003.pdf,0904,
09,04,01,,4,本院委員盧秀燕等11人臨時提案，有鑑於校園營養午餐開辦的初衷，是「幫助無法為孩子送餐的雙薪家庭，讓他們的孩子也可以吃到剛出爐的美味營養餐點。」農委會在106年3月底宣布，於該年9月起，學校午餐食材必須全面使用國產食材，且必須符合四章一Q規範。如今事隔不到兩個禮拜政策再度髮夾彎，從「強制」變「鼓勵」，使得目前尚有多個縣市未表態加入試辦。爰此，本席要求行政院將全國各縣市政府納入四章一Q政策，以維護孩子們「美味、安全、營養」的基本人權，同時啟動改善營養午餐品質，又可挽救農村經濟危機，提昇糧食自給率，並拯救台灣生態環境，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/09/04/06-1061031/0904061061031_002.pdf,0904,
09,04,01,,5,本院委員林麗蟬等19人臨時提案，鑒於目前新住民二代人數已突破35萬人，然而目前教育部僅針對國中及國小階段之新住民二代進行數據蒐集及統計，使得相關行政單位與研究單位未能獲致新二代於完成國民義務教育後之追蹤統計，相關單位提出更適切之政策及研究更為困難，亦缺乏長期政策之規劃眼光與手段。鑒此，建請教育部將高中以上及學齡前之新住民二代納入統計資料中，以完善我國新住民相關統計，為我國培養優秀新住民二代提供最好的後援，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/09/04/01-1060926/0904011060926_005.pdf,0904,
09,04,01,,6,本院委員蔣乃辛、呂玉玲等19人臨時提案，繼今年四月「戴奧辛毒蛋」、八月「芬普尼毒蛋」后，政府曾宣示禁絕毒蛋事件再發生，言猶在耳，九月份台北市政府再次查驗出「芬普尼毒蛋」，並在第一時間通知農委會加強防制，但農委會卻對外否認，未接獲北市通報。為釐清真相，本席等向北市衛生局要到通知農委會之公文，顯示農委會不但第一時間知情，且有延誤處理與推諉責任之實。有鑑於第一次「芬普尼毒蛋」后，毒蛋防制再破功，中央主管機關不思徹底檢討，遇事只知推諉責任，讓全國的毒蛋遏阻形同虛設，為維護國人飲食健康，禁絕毒蛋事件再發生，本席要求行政院檢討「食品安全辦公室」未能發揮為食安把關之缺失，徹查二次「芬普尼毒蛋」事件，確認各機關疏失與論處，並研擬有效禁絕措施；強制各類蛋納入追蹤溯源系統；嚴定芬普尼殘留標準零檢出，加強農藥管理，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/09/04/01-1060926/0904011060926_006.pdf,0904,
09,04,01,,7,本院委員曾銘宗等12人臨時提案，鑒於近年「邁向頂尖大學計畫」執行成效不佳，為提升我國高等教育國際競爭力，建請行政院督導教育部全面檢討「邁向頂尖大學計畫」，提出具體改善措施，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/09/04/01-1060926/0904011060926_007.pdf,0904,
09,04,02,,1,本院委員吳志揚、徐榛蔚、黃昭順、蔣萬安等11人臨時提案，有鑑於特殊教育法第18條已明定特殊教育與相關服務措施提供與設施設置，以確保身心障礙者受教之權利。惟國內高級中等學校中仍有部分並未依法設立適當之無障礙設施，據統計截至105年8月底，171所國立高級中等學校中應設置無障礙設施而未設置者尚有105所，所需設置無障礙設施計有1939項，明顯未顧及身障者之受教權，亟需進行督導並要求改善，故此建請政府相關單位，針對公私立高級中等學校進行校園無障礙設施總體檢，並限期提出改善方案，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/09/04/04-1061017/0904041061017_003.pdf,0904,
09,04,02,,2,本院委員曾銘宗等12人臨時提案，鑒於近年「青年出走」問題嚴重，建請行政院組成專案小組，提出具體解決方案，以優化國內就業市場環境，促進我國經濟發展，並留住青年優秀人才，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/09/04/02-1061003/0904021061003_002.pdf,0904,
09,04,02,,3,本院委員李彥秀等14人臨時提案，鑒於我國學幼童齲齒狀況嚴重，然據實證醫學研究指出，牙齒塗氟得有效降低兒童齲齒率，而如何提高塗氟利用率，積極推廣社區巡迴塗氟服務，使牙醫師至幼托園所為幼童施作塗氟，同時落實衛生教育，乃為一有效之執行策略。詎衛生福利部卻漸縮減社區巡迴塗氟服務，忽視幼童因師長帶領及同伴學習效應，誠有助於提高塗氟利用率。爰建請衛生福利部於一個月內研議將社區巡迴塗氟服務擴及全國，俾利緩減幼童齲齒問題，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/09/04/02-1061003/0904021061003_003.pdf,0904,
