term,sessionPeriod,sessionTimes,meetingTimes,agendaNo,billName,docUrl,selectTerm,
09,02,01,,1,本院委員李彥秀等13人臨時提案，鑒於我國近年來玻璃破裂傷人事故頻傳，且查外國對於不同處所應裝設之玻璃種類亦有規範，故我國應建立建築玻璃設立使用安全標準，以維護社會大眾之安全，建請內政部營建署研擬相關安全標準之規範，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/09/02/01-1050913/0902011050913_001.pdf,0902,
09,02,01,,2,本院委員張麗善、徐榛蔚等11人臨時提案，有鑑於陸客來台已持續大幅衰減，加上中國大陸方面已證實兩岸溝通聯繫機制已經停擺，可見短期內陸客來台規模不會有積極性改善空間，種種情勢使得相關產業如同過「小冬天」，尤其是國內遊覽車業者大多靠接待陸客生存，如果對岸採緊縮政策，接待陸客遊覽車將被迫轉向國旅市場，以現有情況評估，遊覽車市場恐怕崩盤，因為遊覽車市場陷入供過於求、惡性競爭、殺價激烈的情況。國內從二○○八年至今，遊覽車的數量，已經增加了五、六千台，絕大部分的遊覽車都是貸款購置，突然的緊縮政策來襲，將可預見相關產業以及遊覽車業的營運肯定會發生困難，為免國內消費已經停滯不前之內部經濟因素，又突然面臨外部種種無可抗拒之不利因素恐引發國內經濟結構性崩盤以及引發通貨緊縮風暴。爰建請行政院應儘速邀集相關單位針對經濟緊縮、相關觀光產業之衝擊、協助業者展延貸款等事項，研議妥適因應措施與具體方案以避免單一產業引發全面性經濟問題，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/09/02/01-1050913/0902011050913_002.pdf,0902,
09,02,01,,3,本院委員江啟臣等21人臨時提案，有鑑於每到農作物生產季節，農民不只要防範氣候天災，更要防止山豬、獼猴頻繁侵擾；然而，傳統放鞭炮、養狗、製造噪音等等減災措施只能短期嚇阻，農民不堪其擾。為求取保護農作與動物保育之平衡，已有農民嘗試「電網」、「漁網」與「防護網」等防護措施，然而架設成本過高，使其他想效法的農民卻步。農委會雖然今年六月起推行補助「電網」示範計畫，但是預算過少，「漁網」與「防護網」也未納入補助項目。爰此，建請行政院除了增加現行防治獼猴與山豬侵擾之「電網」補助外，研擬將「漁網」與「防罩網」等其他有效防護措施納入補助項目，以利農民依不同作物需要與耕作習慣選擇防護措施，保障農民生計，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/09/02/01-1050913/0902011050913_003.pdf,0902,
09,02,01,,4,本院委員孔文吉、簡東明等19人臨時提案，有鑒於原住民族委員會辦理「原住民保留地禁伐補償」，其土地條件限定第2條：原住民保留地依非都市土地使用管制規則第7條規定適用林業用地管制之土地。此規定嚴重影響劃歸都市計畫內之原住民保留地之權益。受影響區域有新北市烏來區、桃園市復興區石門水庫周邊以及屏東縣牡丹水庫周邊等地。建請原住民族委員會針對上述區域提出專案檢討報告與補償方式，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/09/02/01-1050913/0902011050913_004.pdf,0902,
09,02,01,,5,本院委員蔣乃辛等21人臨時提案，有鑑於健保署信義第二門診中心在台北市大安區設立數十年，每年診治眾多台北市市民，早已成為地區醫療守護者，但因「健保局」改制為行政機關「健保署」後，面臨存廢的問題。惟該門診中心成立多年，台北市年長民眾均長期在該門診中心就診與復健，一旦裁撤，這些體弱與行動不便的長者，根本承受不住舟車勞頓的跨區就醫，勢必影響該地區數萬民眾的就醫權益。為保障眾多台北市長者之就醫權益，本席等強烈要求行政院務必要保留臺北信義門診中心，並研議將其改為部立台北門診中心，由部立或國立醫院接管，繼續服務台北市民，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/09/02/01-1050913/0902011050913_005.pdf,0902,
09,02,01,,6,本院委員吳志揚等11人臨時提案，有鑑於臺灣風災、地震頻繁，而且往往造成生命財產之重大損失。由於科技日趨進步，政府應利用最新科技使民眾得知災防預警訊息以便提早因應。近期政府藉由電信業者發放地震預警通告簡訊，用以提前警示民眾地震級數與範圍。然而經歷數次地震後，民眾卻仍未能如期收到預警通告簡訊，為使電信業者能全力配合政府災防預警訊息之傳送，特建請行政院儘速召集所屬機關與相關單位針對災害預警通告簡訊系統提出討論，建立天然災害及緊急事故訊息播送之執行辦法及應變措施，並列為電信業者頻譜換照審查依據之一，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/09/02/11-1051122/0902111051122_002.pdf,0902,
09,02,01,,7,本院委員林德福等14人臨時提案，有鑑於暑假旅遊旺季期間，不少民眾選擇開車出遊，過去曾有輪胎過舊結構變質，失去原先安全係數，導致車輛翻覆意外。98-103年國道爆胎事故統計資料顯示，共造成49人死亡，1096人受傷。本席認為「降低道路交通事故死傷人數」是交通部施政重點，輪胎檢查是行車安全不可或缺的一部分。經濟部標準檢驗局已於104年12月16日針對輪胎訂出安裝及使用期限規定。因此，本席建請交通部應立即修正「道路交通安全規則」將輪胎壽命列為汽車定期檢驗時之檢驗項目，必須符合中華民國國家標準規定之使用期限，以維護民眾駕車及其他用路人的安全，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/09/02/04-1051004/0902041051004_020.pdf,0902,
09,02,01,,8,本院委員簡東明等13人臨時提案，鑒於104年度原住民族委員會所核定之「公益彩券回饋金計畫」（共31案，核定金額2億8126萬元），其中8案（核定金額共2億6316萬元），其補助單位仍為原民會下各局處（包括原民會社會福利處、教育文化處、土地管理處、文化園區管理局），比率高達93.56%，並遠高於前3年度（101年度71%、102年84%、103年82%），違反「原住民族委員會審查申請運用公益彩券回饋金計畫處理要點」申請補助單位之規定，且不符「公益彩券回饋金」設立宗旨「以政府資源投入民間社區，辦理弱勢族群之服務就業暨推展社會福利」。因此，爰提案要求原民會儘速改善，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/09/02/01-1050913/0902011050913_008.pdf,0902,
09,02,01,,9,本院委員盧秀燕等11人臨時提案，有鑑於我國許多公共場所仍尚未設置哺乳室，造成許多媽媽們的困擾。根據衛生福利部於105年3月底前的統計，全國約只有3000處左右的哺乳設施，可見我國對於哺乳室的設置仍不夠完善。爰此，建請行政院落實母嬰親善，增設哺乳空間，保障婦女於公共場所哺育母乳之權利，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/09/02/01-1050913/0902011050913_009.pdf,0902,
09,02,01,,10,本院委員賴士葆等14人臨時提案，查體育署公佈103年國內自行車規律運動人口成長至245萬人，加上近年全台自行車路網持續建置完成，也帶動國內騎乘自行車人口持續向上攀升，尤其熱門觀光景點週邊區域更興起一股利用腳踏自行車或電動自行車遊覽景點的風潮，唯迄今無任何縣市交通單位、民營單位強制投保自行車相關責任保險，造成民眾事故時的消費糾紛頻傳且求償無門，足顯政策未臻完善。有鑑於此，為使台灣成為真正最適合騎自行車觀光的國家，爰提案要求行政院及其相關單位，應儘速參照國外經驗，研擬針對自行車使用者責任強制納保的執行計劃；並於三個月內蒐集相關自行車造成第三人損失經驗統計等資料，以供費率釐訂之精算依據；此外，並研擬訂定相關「定型化契約應記載不得記載事項」使業者遵行並據以辦理後續查核事宜，以強化維護消費者權益，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/09/02/01-1050913/0902011050913_010.pdf,0902,
